Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",65.860000,-89.940000,0.000000,top
"C2","22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",73.720000,-84.500000,90.000000,top
"C3","22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",65.680000,-83.740000,90.000000,top
"C4","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",85.790000,-83.880000,90.000000,top
"C5","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.110000,-94.040000,0.000000,top
"C6","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",71.110000,-89.960000,180.000000,top
"C7","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",76.300000,-83.350000,90.000000,top
"C8","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",82.190000,-99.470000,-90.000000,top
"C9","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",66.710000,-101.160000,90.000000,top
"C10","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",59.610000,-101.870000,90.000000,top
"C11","10nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",68.920000,-66.250000,90.000000,top
"C12","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",64.180000,-111.395000,90.000000,top
"C13","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",59.340000,-105.875000,0.000000,top
"C14","10nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",79.210000,-66.250000,90.000000,top
"C16","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",57.450000,-73.390000,0.000000,top
"C17","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",52.040000,-65.040000,-90.000000,top
"C18","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",96.774000,-106.080000,90.000000,top
"C19","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",94.234000,-106.080000,-90.000000,top
"C20","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",91.694000,-106.080000,90.000000,top
"C21","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",115.750000,-89.720000,90.000000,top
"C25","45pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",110.840000,-81.340000,90.000000,top
"C28","10nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",92.580000,-66.250000,90.000000,top
"C29","0.1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",105.580000,-112.430000,0.000000,top
"CN2","HC-XH-2A-G","CONN-TH_2P-P2.50_HC-XH-2A-G",52.820000,-90.540000,0.000000,top
"CN3","HC-XH-2A-G","CONN-TH_2P-P2.50_HC-XH-2A-G",52.840000,-96.770000,0.000000,top
"CN4","HC-XH-2A-G","CONN-TH_2P-P2.50_HC-XH-2A-G",52.890000,-108.050000,0.000000,top
